question,answer,intent
이거 코로나 증상인가요? 어제부터 계속 기침하고 목이 아프고 열이 39도 까지 올라갔는데 코로나 증상 아니겠죠..?,"실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.15.",
코로나 백신 2차 날짜 제가 오늘 코로나 백신 1차를 맞았는데요 2차 날짜는 어디서 보나요?,"질문 코로나 백신 2차 날짜 제가 오늘 코로나 백신 1차를 맞았는데요 2차 날짜는 어디서 보나요? ▶ 코로나 백신 사전예약한 상세 내용을, 아래 COOV앱을 통한 설치 및 사용방법, 코로나 백신 예약번호 확인, 코로나 백신 증명서 발급 등의 자세한 내용을 확인하시기 바랍니다.(상세사진첨부),  2021.09.25.",
위드 코로나가 뭔가요,"위드코로나는 코로나19의 완전한 종식을 기대하는 것보다 그에 대한 인식과 방역체계를 바꿔 코로나19와의 공존을 준비해야 한다 개념입니다. 위드코로나가 시행되면, 아래에서 확인해보시기 바랍니다. ✅ 위드코로나 마스크 여부 및 해외여행 국가 ⏩ http://m.site.naver.com/0RXur  2021.10.20.",
코로나인가요 감기인가요 목도 아프고 콧물도 나오는데 감기인가요..? 아니면 코로난가요..," 없다면 코로나 증상은 아니니 너무 걱정하지 않으셔도 됩니다. 특히 질문자님은 콧물도 잘 나오고 있으니 코로나일, 코로나 증상은 폐렴증상인데 시국이 시국인지라 아무래도 불안해 하시는 마음은 충분히 이해가 갑니다 . 코로나증상은 기침이 심하게 나옵니다. 코로나일경우 엄청난,  2021.11.16.",
코로나 백신 맞으러 갔는데 코로나 백신을 맞으러 갔는데 갑자기 아 독감주사요 이러면서 독감 주사를 맞고 왔습니다 저는 그래서 원래 코로나 백신 맞을때 독감 부터 맞고 코로나 백신 주사를 맞나 생각하고 왔는데.. 아닌가요..?,코로나와 독감 주사를 같이 놓는 기간이라 간호사 분이 뭔가 오해하신 것 같은데요. 독감주사는 젊은 사람의 경우 비용도 따로 내야 합니다. 아무래도 병원에 문의하는게 좋겠네요.  2021.11.10.,
코로나 확진 동선 오늘 2년만에 처음으로 피시방갔는데 3일전에 제가 앉은 자리에 확진자가 왔다갔대요 그 이후로 코로나 방역 3번이나 했다고하기는 하던데 혹시 저한테도 코로나 검사 받으라고 연락올까요? 그리고 저 괜찮을까요?,"코로나 확진 동선 오늘 2년만에 처음으로 피시방갔는데 3일전에 제가 앉은 자리에, 이후로 코로나 방역 3번이나 했다고하기는 하던데 혹시 저한테도 코로나 검사 받으라고 연락올까요? 그리고 저, 방역도 했고 코로나는 바이러스라서 공기중에 있으면 자연소멸 하는것으로 압니다. 3일이나,  2021.07.04.",
코로나백신 코로나 백신 1989년07.01년생인데 끝자리1이라 코로나백신언제맞을수있나요,8월 코로나 백신 계획 핵심 정리 https://blog.naver.com/justfighter/222454164759 코로나 백신 접종 전 주의사항 https://youtu.be/HUWnuVlIXZc\  2021.08.02.,
코로나증상? 인가요 제가 학교맞치고 학원을 가고있는데 갑자기 머리가 아프고 기침과 호흡곤란이 있어요 코로나 증상말고 따른병 일수도있나요?,"물론 다른 증상 일 수도 있겠지만 시국이 시국인 만큼 코로나 검사 한번 받아보셔요 ㅜㅜ 보건소에서 검사를 받는게 정확하겠지만 상황이 안되신다면 코로나 자가진단 키트라도 꼭 해보세요 질문자님 건강도 중요하지만 내 가족과 친구 지인들을 위해서 검사를 하는건 중요한거 같아요 이제 진짜,  2021.07.15.",
제 친구의 친구가 코로나 확진이 되었는데 더 망한건 확진 된 친구가 제 친구한테 신체접촉 진짜 많이 했는데 아직까진 제 친구는 확진의심이 되진 않는데 그 확진 된 친구의 단짝이 저랑도 친해서 같이 논적 많은데 저 어떡해요?? 검사 해야 하나요?? ㅠㅠㅠ 코로나 확진 되기 싫은데..," 우선, 코로나확진자분과 실제로 식사를 하거나 마스크를, 함께 코로나 검사를 받으시길 바랍니다. 질문자분은, 우선 검사를 받으시고 코로나는 잠복기가 있기 때문에 밀접접촉을 한 친구분들이나 질문자님이 이후에 코로나증상이 생기고 그때 양성이 뜰수도 있긴합니다. 코로나 증상,  2021.10.22.",
"코로나 백신 접종 후 코로나 검사 안녕하세요 제가 내일 코로나 백신 접종을 하는데요, 금요일에 코로나 검사를 받아야 해서요. 백신 맞고 검사 받아도 괜찮나요?","코로나 백신 접종 후 코로나 검사 seonlee06채택률75%마감률75% 안녕하세요 제가 내일 코로나 백신 접종을 하는데요, 금요일에 코로나 검사를 받아야 해서요. 백신 맞고 검사 받아도 괜찮나요? = 네 상관없다고 합니당! [출처] < >  2021.11.10.",
코로나 백신 접종 후 코로나 검사 제가 오늘 코로나 백신 화이자를 오전 9시에 접종했는데 당일날 코로나 검사를 받아야하는데 코로나 백신 접종 후 코로나 검사를 받으면 음성이 나오나요 양성이 나오나요,"코로나 백신 접종 후 코로나 검사 song****채택률84%마감률84% 제가 오늘 코로나 백신 화이자를 오전 9시에 접종했는데 당일날 코로나 검사를 받아야하는데 코로나 백신 접종 후 코로나 검사를 받으면 음성이 나오나요 양성이 나오나요 = 단순히 백신으로 양성은 안나오니 코로나 증상이 없으면,  2021.11.05.",
위드 코로나 야외 시설 체육공원이나 운동장이 코로나 때문에 막혔는데 위드 코로나가 시행된 11월 언제쯤 풀릴까요?,"야외시설도 해제 입니다 위드코로나 11월 1일부터 시행됩니다. 위드코로나는 일상회복 6주 간격으로 위드코로나 3단계에 걸쳐 시행된다. 확진자, 미접종자 제한 인원(현재 수도권의 경우 4명까지 제한)은 1∼2명 축소운영 됩니다. 위드코로나 + 백신패스 관련 안내는 하단 링크를 참고하세요 <>  2021.11.02.",
코로나 증상 저희 동네에 문구점 같은곳이 없어서 구리에 가서 샀는데 그후로 미열이 있고 목이 따끔따끔해요.음식물이나 침삼킬 때도 아프고 코도 막혔습니다. 머리도 조금씩 아프구요. 시국이 시국인지라 코로나 증상같아서요. 답변 부탁드려요.,"님안녕하세요 실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.09.",
코로나 확진 전 병원비 저번주 월욜에 백신맞은게 너무 아프고 열이나서 응급실가서 링거맞고 코로나 검사받고 집왔는데 다음날 양성이라 떳네요 이러면 치료하고 코로나검사받은 병원비 받을 수 있나요?,저번 주 월요일에 백신 맞은 게 너무 아프고 열이 나서 응급실 가서 링거 맞은 비용은 질문자님이 부담하셔야 하고 나머지 코로나 검사 비용과 코로나에 걸려서 입원 등 모든 진료 비용은 무료입니다.  2021.08.03.,
"코로나 증상 , 코로나 검사받고 음성 판정을 받았는데요, 오늘 점점 심해지더니 속이 울렁거리고 두통이랑 열도 나는데 코로나라, 근데 코로나 잠복기?때문에 기침,콧물이 있어도 음성일 경우가 있나요? 감기나, 앗 그리고 고3이라 수능을 이틀 남겨두고 있는데 코로나는 아니지만 열나고 기침하는 이런","실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.17.",
코로나 증상 콧물 코막힘 목 칼칼함 기침 두통 이렇게 있는데 코로나 인가요? 얼마전에 얇은 옷 입고 밖에 오래있긴 했습니다," 실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나,  2021.11.03.",
"코로나 질문있습니다! 목감기가 걸리고 열이 생각보다 많이 나기도했고 코로나 증상인가 하고 의심했는데 병원에서, 그리고 혹시나 열이 내려가지 않으면 코로나 검사를 받아보라고 하더라구요. 병원다녀온 지, 지금은 목만 조금 칼칼한데 만약 코로나라면 처방받은 약으로 증상이 나아지지는 않죠? 병원을","약의 경우 일시적인 완화 효과만 있을 뿐 코로나일 경우에는 증상이 다시 나타납니다. 일단은 안심하시고, 혹시나 모르니 아래 증상이 나타나는지, 코로나 증상 순서 발열이 첫번째 증상입니다. 발열 => 기침 => 폐렴 => 급성 호흡곤란 증후군 => 합병증으로 이어집니다. 그리고 메스꺼움 구토가,  2021.08.18.",
"코로나 의심증상 기침,코 막힘,식욕감소,목부음 코로나 증상 또는 코로나 인가요 코로나이면 제가 어디어디 들렸는지하고 다 물어보나요? 내공 40드리겠습니다"," 실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나,  2021.11.04.",
"청소년 코로나 백신 오늘 11월12일 6시까지 사전예약 이었는데 예약을 안했어요 … 원래 맞을려했는데 사이트말고 병원에 전화해서 예약할 수 있나요? 사전예약 기간 끝났는데도 예약할 수있어요,,? #코로나#백신#청소년#청소년코로나백신#청소년백신#사전예약#사전예약기간#청소년사전예약",[코로나 백신 예약 접종 시기를 놓친 경우] 코로나 백신 접종 시기를 놓친분은 잔여백신이나 가까운 병원에 문의 후 당일접종예약으로 코로나 백신 예약이 가능 합니다 (자세한 일정은 하단링크를 참고하세요) < >  2021.11.12.,
위드코로나 코로나 상황이 되게 심각해지는거 같은데 이러다가 위드코로나 중단될 수도 있는 건가요??,코로나 상황이 되게 심각해지는거 같은데 이러다가 위드코로나 중단될 수도 있는 건가요?? = 아직 중단 이야기는 없습니다 [출처] <>  2021.11.11.,
코로나 증상 제가 내일 자가격리 해제로 코로나 검사를 하는데요 오늘 오전부터 속이 더부룩 하고 오후에는 머리아픈것도 추가 됐는데요 그래서 겨드랑이로 재는 체온계로 쟀는데 왼쪽37.4 오른쪽 37.2 미열이 있길래 잘려고 합니다 이게 코로나 증상인가요.. 심지어 밀첩접촉자 입니다..,"실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.13.",
코로나 19 증상 오른쪽 아랫배 통증이랑 두통 그리고 열이 38도 이상 나는데 코로나 증상인가요..?," 실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나,  2021.11.02.",
미국입국 코로나 현자 미국 입국할따 코로나 검사 해서 음성 판정받은거 필요하나요?," 부터 코로나19 고위험지역*(한국 포함)에서의 방문자에 대하여 DC도착 전 72시간 이내에 코로나19 검사를, 이상 코로나19 확진자가 발생한 지역, 외국의 경우 美 CDC가 지정한 코로나19 여행건강경보 2-4단계 국가, 부터 코로나19 음성확인서 제출 및 추가 검사 실시 후 격리기간,  2021.01.11.",
위드 코로나 중단되면 독서실도 다시 10시까지밖에 안하나요,"위드코로나가 한 번 시행되고 나면 다시 예전으로 돌아갈 확률은 적습니다만 최근 코로나 확진자 동향을 보면 단순 확진자 수 뿐만 아니라 위중증, 예전 사회적 거리두기로 돌아갈 수 있다고 봅니다. 아래에서 위드코로나 관련 글 읽어보시기 바랍니다. ✅ 위드코로나 영업시간 및 거리두기 기준 <>  3일 전",
"위드 코로나 2단계 관련 질문 안녕하세요 제가 위드 코로나 2단계에 대해서 질뭉 드리고 싶은게 있습니다. 1. 위드 코로나 2단계 할 수 있나요? 2. 확진자, 위중증이 얼마나 나와야 위드 코로나 2단계 못하나요? 3. 위드 코로나 2단계 하면 콘서트때 함성이랑 떼창 가능한가요? 답변 부탁드립니다ㅠㅠ"," 네 2.3 위드코로나는 일상회복 6주 간격으로 위드코로나 3단계에 걸쳐 시행됩니다. 확진자 폭증 등 돌발 변수가 없다면 11월 1일 1단계, 12월, 미접종자 제한 인원(현재 수도권의 경우 4명까지 제한)은 1∼2명 축소운영 됩니다. 위드코로나 + 백신패스 관련 안내는 하단 링크를 참고하세요 <>  6일 전",
"코로나 증상 복통 저희 탁구쌤이 코로나 확진판정을 받아서 학생들이 검사를 받으러갔는데 전부다 음성이였어요 그래서 격리된지 오늘이 2일차에요 탁구쌤, 후로는 설사 한두번 나오고 그 후는 배아파서 싸면 그냥 일반대변이 나오고요 근데 네이버찾아보니까 코로나 증상에 복통도 있더라구요.. 너무 걱정이돼요..","실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.19.",
위드 코로나 질문 위드 코로나가 코로나 함께 뭐 독감처럼 안고간다 이런말로 알고있는데 이 위드 코로나가 시행되면 백신 안맞은사람들은 뭐 술못먹네 식당 못들어가네 이런 말이 들려서 그러는데 이것도 맞는건가요? 위드 코로나 뜻이 그냥 함께 안고간다 이렇게 이해하면 될까요 ?,"[위드 코로나 뜻] 강력한 변이 바이러스 출현, 돌파감염 등으로 코로나19 팬데믹이 장기화되면서 대두되고 있는 개념이다. 이는 코로나19의 완전한 종식을기대하는 것보다 치명률을 낮추는 새로운 방역체계 등을 도입해 코로나19와의 공존을 준비해야 한다는 뜻이에요 [국내 위드 코로나] 위드,  2021.10.15.",
코로나인가요 한 2틀전부터 목이 아프고 콧물이 나오다기 지금 살짝 어지럽고 오늘 설사하고 기침도 하는데 코로나인가요? 코로나면 벌금 내야하나요? 후유증은 얼마나 심한가요," 하셨는데 코로나인지 질문 주셨는데요 목이 아프고 콧물도 나오고 어지럽고 설사도 있으면 코로나 증상에 가까워보이지만 발열 증상도, 열도 높게 나오셔야 확률이 더 높아집니다 젊은 분이시라면 코로나 후유증은 그리 심각하지는 않습니다. 그래도 혹시 모르니 가까운 보건소에서 검사,  2021.11.04.",
위드코로나 질문이요 위드코로나 하면 식당이랑 카페 영업시간이 제한없잖아요 식당이랑 카페도 백신안맞은 사람이면 10시까지만 이용가능하나요?," 위드코로나 하면 그런거 사라진단 뜻이에요 [위드 코로나 뜻] 강력한 변이 바이러스 출현, 돌파감염 등으로 코로나19 팬데믹이 장기화되면서, 이는 코로나19의 완전한 종식을기대하는 것보다 치명률을 낮추는 새로운 방역체계 등을 도입해 코로나19와의 공존을 준비해야 한다는 뜻이에요,  2021.10.22.",
코로나 증상인가요 열은 안나고 두통도 없는데 기침하고 코도 막히고 목에 가래가 자꾸 끼는데 코로나 증상일까요,"실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.12.",
"코로나 관련 질문 1. 제가 요즘 목에 가래가 있는거처럼 답답한데, 코로나 초기증상인가요? 2. 1번 질문과 같은 증상이 있을때 코로나 감사했는데 음성이면 괜찮은 건가요? 3. 잠복기에 정확한 뜻은 뭔가요? 4. 코로나를 만약 걸렸을때 빨리 나을 수 있는 방법과 코로나 예방법을 알려주세요. 빠른 답변 부탁드립니다.","1. 감기일수도 있고 코로나일 수도 있구요. 2. 네 3. 바이러스가 증식을 하는데까지 시간이 걸리는데 그 기간을 잠복기라고 해요. 4. 코로나 예방법은 사람들 많은 곳 피하기, 마스크 잘 끼기, 소독 자주 하기 등. 걸리면 입원해야하기에 치료를 받게됩니다.  2021.09.21.",
독감맞고 코로나 독감 맞고 코로나 백신 몇주후에 맞아야하나요?," 질병관리청에서 발표한 공고문에는 아래와 같이 독감 등 다른 접종과 코로나19, 경우, 코로나19 예방접종 가능한가요? 답) 네, 가능합니다. 다른 백신과 동시 접종 시 코로나19 백신의 안전성과, 위의 답변에서 보면 알 수 있듯이 독감접종 전후로 코로나19 백신 접종을 해도 무관하다고,  2021.11.03.",
위드코로나가 뭐에여? 인터넷 쳐보니까 코로나를 이제 독감이나 일반 감기수준으로 본다던데 맞아요?맞다면 이제 우리나라도 그냥 코로나 포기한거에용?," [위드 코로나 뜻] 강력한 변이 바이러스 출현, 돌파감염 등으로 코로나19 팬데믹이 장기화되면서 대두되고 있는 개념이다. 이는 코로나19의 완전한 종식을기대하는 것보다 치명률을 낮추는 새로운 방역체계 등을 도입해 코로나19와의 공존을 준비해야 한다는 뜻이에요 [국내 위드 코로나] 위드,  2021.10.23.",
코로나 걸렸을 때 대처방법 좀 알려주세요 우리나라 많은분들이 코로나에 걸려서 치료를 받으셨잖아요 혹시 어떻게 대처하고 치료를 할 수 있을까요? 아직은 코로나는 아니지만 미리미리 공부를 해두고 싶어요 코로나 후유증 요즘도 남나요? 치료개발이 좀 되었나요? 요즘 코로나 확진자들 어떻게,"코로나 후유증 요즘도 남나요? 네남을수도 있어요. 치료개발이 좀 되었나요? 셀트리온 치료제 말고는 아직 없구요. 셀트리온도 좀 치료제 치고는, 요즘 코로나 확진자들 어떻게 치료하나요? 시설에 들어가서 일주일 지켜보구요. 문제 없으면 2주 안에 퇴원합니다. 증세가 나아지지 않거나 심해지면,  2021.08.10.",
위드코로나 중단 중단조건 위드코로나 중단 하나요? 중단조건 뭐에요? 그러면 이제 12월 코로나 4단계 발동될까? 확진자 엄청 많던데..,"위드코로나 중단조건 중앙방역대책본부는 '위드코로나 긴급평가 실시요건'으로 ▲중환자실 병상가동률이 75% 이상 도달 시 ▲주간 평가 결과가 위험도 '매우 높음'인 경우 ▲4주간 단계 평가 결과가 '높음' 또는 '매우 높음'인 경우 ▲이 외 방역의료분과위원회 전문가 의견 등을 토대로,  3일 전",
위드코로나&코로나 백신접종 위드코로나 마스크여부 위드코로나가 11월부터 시작하는것 같던데 그럼 마스크를 쓰는건가요? 또 이제 13세~19세들도 백신을 맞아야하는걸로 알고있는데 미성년자 백신접종률은 몇퍼인가요,"40% 입니다 현재기준 위드코로나 11월 1일부터 시행됩니다. 위드코로나는 일상회복 6주 간격으로 위드코로나 3단계에 걸쳐 시행된다. 확진자 폭증, 제한 인원(현재 수도권의 경우 4명까지 제한)은 1∼2명 축소운영 됩니다. 위드코로나 + 백신패스 관련 안내는 하단 링크를 참고하세요 <>  2021.10.26.",
"코로나 증상 , 8 / 38 까지 되서 해열제먹고 열은 내렸어요 그 후 저녁부터 감기약을 복용중인데 코로나면, 안올랐어요 코로나일까요? 직업이 교사라 주변에 아이들이 많은데 애들이 요즘 열감기를 많이, *내일 화이자2차 맞을 예정인데 내일 오전까지 감기약 복용해도 될까요?(모드콜S 입니다) 코로나검사","실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.06.",
"코로나 궁금한거있어서요 코로나가 중증환자들이 백신을 맞았나요? 혹시 맞아서 중증환자 될 확률이 적으면 독감처럼, 글고 백신 맞았는데 코로나 걸렸다고 뉴스에 나오는데 독감도 백신 맞아도 걸리는것 처럼 당연한겅, 아픈것처럼 코로나랑 독감이랑 머가 다르죠.. 일부로 불안감 조성한다는거 본적이있어서요,..",독감은 인프루엔자바이러스로 급성호흡기질환이고 코로나는 코로나바이러스가 주범인 급성호흡기질환및 폐질환입니다.  2021.11.16.,
코로나 증상 제 친구중에 코로나 접촉자가 생겨서 질문 남깁니다. 친구가 접촉자라는 말을 듣고 생각해보니 뭔가 목이 부은 것 같더라구요 코로나 증상 첫번째가 목부음 현상일까요? 아직 결과가 안 나와서 더 불안하네요..," 전국민이 코로나때문에정신적으로나 육체적으로 너무나 많은 고통을 받고 있는데요 ㅠ 코로나 증상 및 유용한 정보 적어드려보도록 할게요 코로나 증상 1. 발열 및, 정부의 코로나 바이러스 치료 방법 및 자가진단 1. 코로나바이러스감염증-19로 확진되면 「감염병의 예방 및,  2021.06.06.",
"코로나 증상 , 그래서 코로나 검사 하니까 음성이 나오긴 했어요. 근데 검사받은 그날 학원갔는데 옆자리 애가 확진이 된거에요. 그걸 어제쯤 알았는데 학원, 끝나고 다음날부터 가성이 아예 안올라가고 마른기침?계속하고 목아파요. 지금은 콧물은 안나는데 목에 가래 같은게 껴있네요, 코로나 증상인가요?","실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.14.",
위드코로나가 뭐예요?,With + Corona. 코로나와 같이 간다는 뜻이 담겨 있습니다. 코로나를 완전히 박멸할 수 없다고 판단하여 일반 감기처럼 생각하고 코로나와 같이 간다는 의미에요.,
"코로나 증상 최근에 좀 무서워서 코로나 증상 다 찾아봤는데 해당되는 게 몇 가지 있어서 질문해봅니다, 두통이 살짝 있고 속이 좀 메스꺼운데 이거 코로나인가요, 기침이나 콧물은 안 나옵니다 ㅠㅠ 열도 없구요","시국이 시국인 만큼 코로나 검사 한번 받아보셔요 ㅜㅜ 보건소에서 검사를 받는게 정확하겠지만 상황이 안되신다면 코로나 자가진단 키트라도 꼭 해보세요 질문자님 건강도 중요하지만 내 가족과 친구 지인들을 위해서 검사를 하는건 중요한거 같아요 이제 진짜 4차 대유행이 시작되어,  2021.08.12.",
코로나 증상 ㅠㅠ 콧물나고 제채기 나요 머리도 살짝 아프고요ㅠㅠ 코로나 아니길 넘 무서운데 코로나 증상인가요ㅠㅠㅠ," 전국민이 코로나때문에정신적으로나 육체적으로 너무나 많은 고통을 받고 있는데요 ㅠ 코로나 증상 및 유용한 정보 적어드려보도록 할게요 코로나 증상 1. 발열 및, 정부의 코로나 바이러스 치료 방법 및 자가진단 1. 코로나바이러스감염증-19로 확진되면 「감염병의 예방 및,  2021.06.06.",
코로나 증상 한 3일 전 목이 근질근질더리다가 나아졌는데 지금 약간 두통이 있습니다 열은 없습니다 혹시 코로나일 수도 있나요?? 코로나 증상 좀 자세히 알려주세요!,"실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.14.",
"코로나 증상 이거 코로나 증상인가요.. 저 가래도 나고 숨쉴때 뭐랄까 목쪽이 좀 간지럽달까? 그래서 원래 숨을 후-하 이렇게 쉬면 저는 후우우우!!-하아아아ㅏㅇ, 진짜 코로나인가요? 코로나증상들좀 알려주세요ㅜㅜ 그리고 제가 말한것도 알려주세요ㅜㅜ 아침엔 안그랬는데 침대에서 막 놀다가 일어나서 막","실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.13.",
"코로나 의심증상 , 딱히 없고 그냥 코막힘 목 아픔인데 오늘 너무 아파서 보건실 갔는데 진짜 소리치시더라고요 학교 도대체 왜 왔냐고.. 집 바로 앞에 소아과 병원 있어서 거기서 감기 그냥 진료 받고 감기 약 받으려고 하는데 코로나 검사 받아야 하는거에요? 누가봐도 감기인데 굳이 코로나 검사 받아야 하나요 ㅠㅠ","실제 코로나 증상 대상자를 자료화한 안내로 코로나 증상 가장 정확한 안내 드립니다 음, 님은 코로나 증상은 아닌듯 합니다, 네 요즘 환절기로 인한 감기증상 또는 체함 증상이 더 가깝네요 다만 현재 증상이 심하시면 코로나 초기증상 목록 체크 확인후 병원 / 코로나 검사,  2021.11.12.",
"인천 서구보건소 코로나 검사 증상 같은 것은 없구 코로나 검사 결과가 필요해서 토요일에 검사하러 가려는데 궁금한 것이 있어서요ㅠㅠ.. 1. 서구보건소 코로나 검사 무료, 보건소로 신분증 들고 가서 접수?같은 것 하고 코로나 검사 바로 받아 볼 수 있나요? 3. 결과는 문자로 통보해주나요?"," 서구보건소 코로나 검사 무료 맞나요? 검사 무료입니다. 2. 내일 토요일에 검사 받으러갈껀데요..! 보건소로 신분증 들고 가서 접수?같은 것 하고 코로나 검사 바로 받아 볼 수 있나요? 코로나 검사시 신분증은 필요 없어요 3. 결과는 문자로,  2021.07.02.",
"이거 코로나인가여 ㅠㅠ 어제 저녁 낮잠잔 후 몸이 찌뿌뚱해서 그런가보다 하고 가만히 있었는데 두통까지 와서 약먹고 잤어요 근데 오늘 아침에 몸살기운처럼 찌뿌뚱하고 두통 있어서 (인후통,기침 이런건 없었어요) 혹시 몰라서 코로나 검사 받고 왔는데 이거 코로나 인가요 ..ㅠㅠ 아까부터 계속 물설사? 물똥? 싸서","코로나 증상 순서 발열이 첫번째 증상입니다. 38도 이상의 발열증상이 있을 경우 코로나를 의심해 볼 수 있으나, 질문자님의 경우 두통 및 설사 등의 증상만 있는 것으로 봐선 코로나가 아닌,  2021.08.17.",
위드 코로나 2단계 콘서트 안녕하세요. 우리나라 위드 코로나가 너무 복잡해서 질문 드립니다. 저희 가족이 위드 코로나 2단계 후에 이승철 콘서트를 갈까 생각중인데 혹시 위드 코로나 2단계 해도 콘서트 중에 떼창은 금지인가요? 아시는 분 답변 부탁드립니다ㅠㅠ,"위드 코로나 2단계 콘서트 hwan****채택률100%마감률100% 안녕하세요. 우리나라 위드 코로나가 너무 복잡해서 질문 드립니다. 저희 가족이 위드 코로나 2단계 후에 이승철 콘서트를 갈까 생각중인데 혹시 위드 코로나 2단계 해도 콘서트 중에 떼창은 금지인가요? 아시는 분 답변,  2021.11.21.",
코로나 증상 시간 코로나 환자와 접촉하고 몇시간 정도 있으면 열이나 호흡기 증상이 나타나나요??," 전국민이 코로나때문에정신적으로나 육체적으로 너무나 많은 고통을 받고 있는데요 ㅠ 코로나 증상 및 유용한 정보 적어드려보도록 할게요 코로나 증상 1. 발열 및, 정부의 코로나 바이러스 치료 방법 및 자가진단 1. 코로나바이러스감염증-19로 확진되면 「감염병의 예방 및,  2021.06.19.",
"코로나 증상 엊그제부터 약간 미열이 있고 인후통도 좀 있고 오한이 좀 있었어요 근데 오늘 아침에 열을 재니까 39도에요 혹시 코로나 증상인가요? 저 어디, 저희학교에서 코로나 확진자가 좀 많이 나와서 수요일까지 온라인클래스 하고 그날 전교생 모두 코로나 검사 받으러 갔는데 그날부터 이후로부터",열이 고열이고 증상으로는 코로나증상과 유사한걸로 보입니다 요즘 환절기라 독감과도 증상이 유사하고 감기몸살로 오한이 있을수있습니다.확진자 동서누겹치지않고 청결유지하고 항상 마스크착용 했다면 코로나로 보기는 어려울텐데요.시간될때 코로나검사 추천드려요  2021.11.05.,
